case_name,scenario_index,converged,solve_time_s,objective_eur,max_line_loading_pct,min_vm_pu,max_vm_pu,active_set_key,power_balance_residual_mw,line_violation_pct,voltage_violation_pu,active_line_constraints,active_voltage_constraints,active_gen_max_constraints,active_gen_min_constraints,load_scale,reactive_scale,renewable_scale,ramp_max,smoothness,std_power,complementarity,sample_id,sample_seed
case30,20,True,0.147485699999379,512.5226843369885,96.5082176732448,1.027941032067073,1.0799995599781171,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",5.94829052680268e-08,0.0,0.0,0,9,0,0,0.9665246858645284,0.8461859686232912,0.28332876531501555,0.1446589050294898,0.0328351754308339,0.092161986571551,0.3063459283583987,1,2026
case30,29,True,0.14656699999977718,513.8659867101709,96.03583524398708,1.0280304184750373,1.0799995694596969,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",5.4523817238916195e-08,0.0,0.0,0,9,0,0,0.9610818582342691,0.8426435261912558,0.24280796711790803,0.1626215736453757,0.019280327397211,0.087150305726172,0.0218990393907583,1,2026
case30,46,True,0.1443325999989611,519.7113533332115,96.42872442195882,1.027695691665212,1.0799995508399896,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",5.636796140962019e-08,0.0,0.0,0,8,0,0,0.9617939762423835,0.850502204358694,0.201748030252841,0.1846738915662998,0.022412505055539,0.120308879312259,-0.5661158630118791,1,2026
case30,47,True,0.15089850000003935,501.64983583169624,94.28840712879907,1.028344495742402,1.0799996493780861,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",3.4810488935832495e-08,0.0,0.0,0,8,0,0,0.9293924297218698,0.8392110727022631,0.16258651136341642,0.1881509130729844,0.039244100707106,0.0552142480681095,-0.105898405194518,1,2026
case30,55,True,0.1464697999999771,515.1031079199242,97.47986751655165,1.028015910519948,1.079999451018598,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",6.107190131388052e-07,0.0,0.0,1,9,0,0,0.9891486814453889,0.84202599730588,0.38831877022015243,0.1523101432246243,0.0290545804638032,0.0763462401017979,0.7626374219505826,1,2026
case30,68,True,0.1476741000005859,524.9325256229118,99.22141000237536,1.0268995190822117,1.0799996024680762,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",1.0034879149856124e-07,0.0,0.0,1,9,0,0,0.9938551394513744,0.8732862726710179,0.33902448101241633,0.4409006904724973,0.0399229039299001,0.2095461361983449,-0.5082208671577281,1,2026
case30,97,True,0.15467139999964274,534.5385708504291,99.99998384760464,1.0190291237204374,1.0799985965202712,"L:9|VL:none|VH:11,12|GMAX:none|GMIN:none",5.033282776345516e-06,0.0,0.0,1,6,0,0,1.0480874168130265,0.8560381434153754,0.566353356759272,0.084266592905516,0.0144673158860006,0.1519728479813427,-0.3325027306429458,1,2026
case30,105,True,0.15033149999908346,505.29251115511494,94.49567419915125,1.0283572624723616,1.079999636328158,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",3.744998311461245e-08,0.0,0.0,0,8,0,0,0.9361917040089806,0.8367916211520577,0.1717553341080362,0.1759792231169728,0.0128739684630022,0.0657923037668974,0.2211584978111533,1,2026
case30,106,True,0.14644989999942482,516.1990853608223,97.31129888602277,1.0276223594539287,1.0799995367299855,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",6.436808197562982e-08,0.0,0.0,1,9,0,0,0.9742978711008647,0.8545524005191941,0.29798142346338385,0.0891475027082159,0.0155386441773819,0.1443429298512063,-0.1663849842980463,1,2026
case30,123,True,0.14637750000110827,511.1414997128203,95.73407147752926,1.0280018723633864,1.0799995935239157,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",4.815450416195688e-08,0.0,0.0,0,9,0,0,0.9526094924585332,0.845117056908398,0.21716588245699694,0.0639796975389819,0.0135462983379125,0.103085105488972,0.2401333776093883,1,2026
