case_name,scenario_index,converged,solve_time_s,objective_eur,max_line_loading_pct,min_vm_pu,max_vm_pu,active_set_key,power_balance_residual_mw,line_violation_pct,voltage_violation_pu,active_line_constraints,active_voltage_constraints,active_gen_max_constraints,active_gen_min_constraints,load_scale,reactive_scale,renewable_scale,ramp_max,smoothness,std_power,complementarity,sample_id,sample_seed
case30,5,True,0.1690257999998721,508.33385799498245,95.41293281996914,1.0280729691087953,1.0799996119483233,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",4.3981918329549785e-08,0.0,0.0,0,9,0,0,0.9468502654242222,0.8443446349370362,0.2071170450334278,0.0865395115538439,0.0106905316204777,0.1019106329334103,-0.6025345370888453,5,2030
case30,24,True,0.15726019999965501,507.266406331621,94.5671889057774,1.028387586744539,1.0799996276626347,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",3.91030281488014e-08,0.0,0.0,0,8,0,0,0.9398135475991417,0.8347174919548289,0.17638649639555656,0.2226145721275475,0.0161893718687013,0.0536518409930124,0.5087524525681729,5,2030
case30,38,True,0.15412739999919722,511.7332912385354,96.48024413174612,1.0279581852921953,1.0799995633929214,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",5.898680632832054e-08,0.0,0.0,0,9,0,0,0.9660253863794175,0.8460456999146249,0.2866821933339768,0.2390890585038425,0.033954833018458,0.0906083180513749,0.5381028865069882,5,2030
case30,39,True,0.1538728000014089,520.7764729914674,97.01207725527028,1.027496173610918,1.0799995326306435,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",6.108944905491853e-08,0.0,0.0,1,9,0,0,0.9674144979549821,0.8563819113669101,0.22467067256705386,0.2758619417349667,0.0262468665321429,0.1438976154142018,0.2753269340648743,5,2030
case30,50,True,0.15304009999999835,520.0949769528985,98.56460076285656,1.0275330114109957,1.079999371724759,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",7.506353341124594e-07,0.0,0.0,1,9,0,0,0.9980487188349532,0.8550839486540389,0.39917753055062305,0.100205499361057,0.02445941326118,0.139460246668303,0.1366752250189594,5,2030
case30,54,True,0.15744769999946584,522.6813830375526,98.67141619375988,1.0272351772037513,1.0799995743633977,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",5.7425654453879815e-08,0.0,0.0,1,9,0,0,0.9924322173720524,0.8635289151596711,0.3483191792290407,0.3093438074920416,0.064658300441613,0.1449564594553671,-0.0100398058387659,5,2030
case30,58,True,0.15344609999920067,519.8789427228403,97.02697884167755,1.0276476228296982,1.079999526508737,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",6.440160427167996e-08,0.0,0.0,1,9,0,0,0.9719370961357081,0.8518452812431209,0.25647506301450734,0.3592701278152836,0.0482017400650078,0.1053134910519068,0.4407018132456364,5,2030
case30,83,True,0.15274549999958253,520.1372045648624,98.39894333472157,1.0273072885963181,1.0799995613074285,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",5.6911017898286786e-08,0.0,0.0,1,9,0,0,0.9878433230170769,0.8625707353874871,0.34256399184580816,0.3050773398310447,0.0650778752649397,0.1402578083627179,0.1458036548826904,5,2030
case30,89,True,0.15611010000066017,526.7711044656622,99.43212862467334,1.0269686006685383,1.0799993862929453,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",2.983247787247123e-06,0.0,0.0,1,9,0,0,1.0012077655135667,0.8700244111931962,0.36545188444275917,0.10762666768637,0.0120584071885516,0.2175177177238954,0.2777251268946641,5,2030
case30,91,True,0.15421369999967283,508.9535516932418,95.7829979254204,1.0280514501927849,1.0799995965556894,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",4.864475933175072e-08,0.0,0.0,0,9,0,0,0.9537316180329319,0.8446311774695986,0.24030457068672045,0.0860774391050512,0.0197686649395693,0.0957855353658008,-0.1164380649776284,5,2030
case30,103,True,0.17331400000148278,494.4190839404602,92.90665768710956,1.0288979432906848,1.0799996532710157,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",3.120805946998928e-08,0.0,0.0,0,8,0,0,0.9156239446431097,0.8251086226168718,0.142698599341992,0.0516779522950393,0.0038090481355711,0.0201045179657683,0.3129595928082574,5,2030
case30,123,True,0.20496079999975336,511.1414997128203,95.73407147752926,1.0280018723633864,1.0799995935239157,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",4.815450416195688e-08,0.0,0.0,0,9,0,0,0.9526094924585332,0.845117056908398,0.21716588245699694,0.0639796975389819,0.0135462983379125,0.103085105488972,0.2401333776093883,5,2030
case30,124,True,0.1800810000004276,513.9745493972825,96.73978537947208,1.027685564902764,1.0799995594586516,"L:none|VL:none|VH:0,11|GMAX:none|GMIN:none",5.7392189223293144e-08,0.0,0.0,0,9,0,0,0.9638271693898368,0.8538052003365582,0.25733506801326106,0.2193448645264599,0.0203135403940717,0.1370398321164788,-0.3108678719529694,5,2030
case30,126,True,0.19445180000002438,527.6014304377746,98.6238224359222,1.0272769938008877,1.079999527665292,"L:9|VL:none|VH:0,11|GMAX:none|GMIN:none",7.038620375432458e-08,0.0,0.0,1,9,0,0,0.9959102845353895,0.8595603191021861,0.3295807448356715,0.1455867183308646,0.0292936671983364,0.1558520863931159,-0.3837710066422278,5,2030
